1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
3967.259968,3759.877696,3563.567968,3409.991392,3283.864576,3183.704704,3101.586496,3031.607776,2972.481952,2916.467776,2872.967488,2840.42944,2825.230432,2786.76832,2721.898528,2714.386816,2674.310752,2828.003584,2940.903712,3075.321472,3182.945824,3265.291072,3328.061152,3363.136768,3179.526496,3022.603072,2905.11856,2820.067168,2820.243232,2811.589408,2820.690112,2873.983072,2944.5592,3072.72016,3173.022304,3353.66128,3635.882464,3831.268768,3777.948928,3728.646208,3690.874336,3721.057696,3705.40864,3688.55872,3621.380512,3491.36176,3257.207776,3011.737408
2755.238848,2609.428288,2439.974656,2332.313824,2260.995136,2203.855264,2152.093024,2131.904416,2111.425024,2116.536256,2126.911552,2160.02992,2257.184896,2377.575424,2561.512864,3073.679008,4188.627808,5164.07824,5474.48032,5723.942464,5863.57984,6008.892832,6047.208928,5936.43856,5070.985024,4593.582784,4592.504704,5031.250912,5601.569728,5713.370272,5748.364864,5832.932032,5936.889568,6005.343424,5971.315456,5692.222144,5575.749088,5966.464864,6154.809088,6188.331232,6103.305664,6109.40128,6033.397216,5881.735456,5659.733632,5336.254336,4935.657856,4508.947648
4140.916096,3938.309248,3815.27056,3710.495104,3615.611872,3566.003872,3506.46928,3479.351872,3437.946208,3423.200032,3413.74048,3447.589408,3496.82944,3615.07072,3785.63008,4266.54016,5412.35968,6581.392672,6884.046208,7067.248768,7229.445184,7331.85856,7362.152512,7177.157536,5982.6592,5401.771552,5447.877376,6129.163264,6884.274976,7033.36,7076.990272,7192.015936,7276.09888,7362.322144,7251.562624,6684.109888,6467.067808,6957.162304,7246.047328,7257.270112,7138.49968,7116.469888,6999.195136,6746.502784,6472.126528,6103.225024,5626.086208,5097.18016
4690.4416,4491.83968,4368.494656,4281.110272,4199.43856,4131.850912,4081.307488,4037.812384,3998.28112,3972.14128,3972.453184,3999.99136,4062.390112,4205.608288,4367.484064,4824.145984,5879.890048,6967.251232,7250.455936,7419.16,7540.67968,7602.976576,7654.747168,7440.913792,6249.855616,5659.41904,5695.79968,6407.962144,7133.913472,7281.275296,7330.152832,7432.090048,7533.414016,7596.093472,7536.127648,6983.744704,6790.083424,7319.184064,7557.613792,7538.690272,7385.804704,7367.410048,7250.03872,7009.872352,6690.513472,6253.728928,5754.409888,5244.390112
4828.23904,4602.012832,4493.228128,4408.229248,4346.231872,4267.434016,4232.673952,4188.665344,4158.590272,4131.950272,4136.311072,4149.597376,4167.644224,4302.854656,4487.917696,4943.397856,6032.394496,7046.965024,7340.310112,7497.433792,7630.02016,7723.597696,7751.84032,7564.025344,6423.655936,5824.82032,5809.3192,6483.413632,7247.024704,7387.043584,7436.627488,7539.64144,7664.38144,7765.923904,7707.185344,7196.471392,6902.607808,7333.90096,7590.609088,7587.263584,7432.292512,7368.128608,7251.51856,7000.496416,6659.382304,6290.70064,5772.872512,5272.190752
4845.495616,4653.963904,4526.433472,4423.207168,4342.766848,4288.697536,4221.647968,4179.156256,4164.688768,4139.670592,4131.082144,4143.410272,4201.837696,4335.495136,4542.027808,4979.454016,6001.177216,7067.448928,7371.908608,7517.467168,7537.404064,7464.185344,7481.507488,7314.905344,6194.127808,5727.667168,5774.36032,6378.076096,7131.894976,7294.33888,7348.04128,7434.588928,7541.797216,7620.696256,7543.271392,7017.169888,6764.868928,7190.905984,7446.511072,7439.916256,7312.227328,7285.709728,7179.36112,6942.186208,6708.435136,6339.434656,5886.49936,5366.033632
4968.80032,4718.693632,4569.955456,4463.371552,4372.107808,4312.70032,4248.627328,4184.52112,4157.407168,4139.19904,4114.814656,4128.933472,4151.9392,4233.209728,4351.575136,4801.58032,5747.682784,6814.795936,7102.187488,7261.94032,7379.67904,7472.742304,7465.1584,7280.727808,6149.387488,5664.272512,5711.053312,6344.047648,6976.327168,7085.217376,7119.774976,7196.532352,7281.992512,7347.706528,7232.505184,6661.525024,6463.350112,6779.317696,6944.767168,6944.912512,6788.575936,6778.983424,6692.90128,6535.0216,6335.37808,6059.944864,5652.042784,5212.536256
4804.302304,4584.3184,4418.297056,4306.287808,4208.624704,4136.881984,4075.382464,4017.270592,3960.854464,3945.734176,3931.812352,3930.684256,3958.659328,4005.26944,4081.047808,4424.472352,5214.190912,6046.144864,6312.415936,6451.604704,6570.076576,6659.63872,6682.430272,6552.783904,5674.270048,5206.634656,5208.496576,5623.730752,6196.864864,6278.970592,6292.169728,6355.332352,6436.94128,6507.868768,6414.755296,5981.896576,5853.04048,6118.810048,6181.176256,6071.297056,5972.2216,5987.425504,5932.894816,5846.22016,5720.08096,5440.591552,5088.678016,4709.588128
4371.491392,4196.654656,4057.223872,3957.833824,3875.902624,3814.643872,3771.455584,3728.92144,3686.694496,3670.91824,3658.456096,3682.663264,3751.710112,3898.367008,4122.51904,4556.473792,5620.30096,6715.090912,6973.53856,7122.457696,7214.195296,7282.257856,7316.607328,7097.127328,5989.823104,5446.046368,5477.956576,6076.818016,6793.104064,6876.28096,6923.028928,6999.656416,7080.969088,7138.40128,7003.263424,6517.552192,6294.55888,6801.614656,7060.613632,7060.576096,6930.010912,6903.492832,6793.057216,6633.764704,6387.635296,6029.893792,5609.214016,5148.682624
4714.635136,4502.045344,4334.930272,4218.186208,4137.530272,4084.602304,4016.753824,3974.942464,3923.82112,3900.992512,3895.22992,3906.856768,3951.14128,4074.606208,4232.637856,4697.14192,5735.603584,6666.996256,6928.272352,7086.982624,7189.9984,7243.477216,7267.226368,7042.445344,5953.814656,5433.552832,5458.094656,6045.462304,6673.07968,6822.5416,6844.522144,6930.710272,7011.070048,7057.671232,6934.952512,6418.634656,6187.809088,6707.55856,6948.466048,6936.415936,6778.052512,6767.772352,6659.1184,6505.143424,6278.19856,5955.482464,5504.043904,5033.732992
